name,rating,review_count,image_url,page_link,description,duration,area,state,city_region
Hollywood Beach Broadwalk,4.5,"3,691",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ef/46/ca/photo0jpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g34296-d2639350-Reviews-Hollywood_Beach_Broadwalk-Hollywood_Broward_County_Florida.html,"About This 2.5-mile pedestrian promenade in south Florida is crowded with joggers, cyclists and beachgoers of all ages. The Hollywood Beach Broadwalk is great for a fun day out—with activities for both the adults and the kids. Here, you can chill at one of the many cafes perfect for resting and people-watching. You can also rent a bike and enjoy the cool ocean breeze as you pedal or take a leisurely walk along the waterfront. When hungry, you can stop for tacos or a steak, and treat yourself to some ice cream without having to leave the Broadwalk. – Tripadvisor  Duration: More than 3 hours Suggest edits to improve what we show. Improve this listing About This 2.5-mile pedestrian promenade in south Florida is crowded with joggers, cyclists and beachgoers of all ages. The Hollywood Beach Broadwalk is great for a fun day out—with activities for both the adults and the kids. Here, you can chill at one of the many cafes perfect for resting and people-watching. You can also rent a bike and enjoy the cool ocean breeze as you pedal or take a leisurely walk along the waterfront. When hungry, you can stop for tacos or a steak, and treat yourself to some ice cream without having to leave the Broadwalk. – Tripadvisor  Duration: More than 3 hours Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",Duration: More than 3 hours,"Hollywood Beach Theatre, Hollywood Broadwalk, Hollywood, Broward County, Florida, 33019, United States of America",Florida,Hollywood
Visit Central Florida Welcome Center,4.7,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/24/1a/0b/front.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g34169-d10058298-Reviews-Visit_Central_Florida_Welcome_Center-Davenport_Florida.html,"About The premiere Welcome Center for Polk County, FL located in the heart of Central Florida and has a wealth of information. The Welcome Center is the home of the USA Water Ski and Wake Sports Hall of Fame and Museum. Make sure to try a sample of Fresh FL orange juice while enjoying interactive exhibits about numerous attractions throughout Central Florida. While the kids are trying to find the largemouth bass in the pond please ask about Discounted Tickets to all your favorite Central Florida Attractions.  Duration: 1-2 hours Closed now 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday 8:00 AM - 5:00 PM Sunday 8:00 AM - 5:00 PM Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Suggest edits to improve what we show. Improve this listing About The premiere Welcome Center for Polk County, FL located in the heart of Central Florida and has a wealth of information. The Welcome Center is the home of the USA Water Ski and Wake Sports Hall of Fame and Museum. Make sure to try a sample of Fresh FL orange juice while enjoying interactive exhibits about numerous attractions throughout Central Florida. While the kids are trying to find the largemouth bass in the pond please ask about Discounted Tickets to all your favorite Central Florida Attractions.  Duration: 1-2 hours Suggest edits to improve what we show. Improve this listing Hours Closed now Thursday 8:00 AM - 5:00 PM",Duration: 1-2 hours,"101 Adventure Ct, Davenport, FL 33837-8802",Florida,Davenport
Cathedral Basilica of the Sacred Heart,4.8,211,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/ce/29/cathedral-basilica-of.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g46671-d2414633-Reviews-Cathedral_Basilica_of_the_Sacred_Heart-Newark_New_Jersey.html,"About The Cathedral Basilica of the Sacred Heart is built on the highest peak in Newark next to Branch Brook Park. The French Gothic Cathedral covers 45,000 square feet, an area equal to that of London’s Westminster Abbey, and is longer and taller than St. Patrick’s Cathedral in New York City. Built over a 55-year period, beginning at the turn of the century, the land was purchased in 1871 for $60,000. The cost, initially estimated at $1 million, soon rose to $18 million. Most of the money was raised through large donations and church collections throughout the Archdiocese. The edifice was dedicated on October 19, 1954. The title of ""Sacred Heart"" honors Jesus Christ's love for humanity. He made the human face of God's love present in Galilee. The same love reached out to us here and now. We invite you to allow the Cathedral Basilica of the Sacred Heart to lead you in prayer and to deepen your own faith, hope, and love.  Suggest edits to improve what we show. Improve this listing About The Cathedral Basilica of the Sacred Heart is built on the highest peak in Newark next to Branch Brook Park. The French Gothic Cathedral covers 45,000 square feet, an area equal to that of London’s Westminster Abbey, and is longer and taller than St. Patrick’s Cathedral in New York City. Built over a 55-year period, beginning at the turn of the century, the land was purchased in 1871 for $60,000. The cost, initially estimated at $1 million, soon rose to $18 million. Most of the money was raised through large donations and church collections throughout the Archdiocese. The edifice was dedicated on October 19, 1954. The title of ""Sacred Heart"" honors Jesus Christ's love for humanity. He made the human face of God's love present in Galilee. The same love reached out to us here and now. We invite you to allow the Cathedral Basilica of the Sacred Heart to lead you in prayer and to deepen your own faith, hope, and love.  Suggest edits to improve what we show. Improve this listing",,"89, Ridge Street, Newark, Essex County, New Jersey, 07104, United States of America",New Jersey,Newark
Geneva Lake,4.5,483,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/10/22/83/photo0jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g60022-d283907-Reviews-Geneva_Lake-Lake_Geneva_Wisconsin.html,"About Get this straight: The city is Lake Geneva, the lake is Geneva Lake. Hop aboard a classic yacht for a cruise around the second deepest lake in Wisconsin (135 feet deep and 21 miles around) which is the focal point of a popular resort area also known as ""the Newport of the West.""  Suggest edits to improve what we show. Improve this listing About Get this straight: The city is Lake Geneva, the lake is Geneva Lake. Hop aboard a classic yacht for a cruise around the second deepest lake in Wisconsin (135 feet deep and 21 miles around) which is the focal point of a popular resort area also known as ""the Newport of the West.""  Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",Duration:,"Lake Geneva Club, Town of Linn, Walworth County, Wisconsin, 53125, United States of America",Wisconsin,Town of Linn
Kilohana Plantation,4.2,863,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/67/61/d9/kilohana-plantation-estate.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g60623-d155346-Reviews-Kilohana_Plantation-Lihue_Kauai_Hawaii.html,"About Built in the 1930's, Kilohana Plantation is a historic landmark and premier visitor attraction offering visitors and locals a glimpse into Kauai's past combined with assorted island-style activities, dining and shopping. Ride on our Kauai Plantation Railway, winding its way through the plantation's working farms and orchards. Learn about Kauai's history, enjoy the beautiful views and stop to feed the pigs! Take the afternoon to stroll the grounds and explore the 16,000 sq. foot plantation home. Stop in at Koloa Rum Co. for a rum tasting or for a full ""Rum & Dining Experience."" Visit the various artisan shops located around the grounds and both upstairs and downstairs in the home. Established in 1986, Gaylord's restaurant is a Kauai tradition. Set in the courtyard of the estate, it offers fresh, island-inspired food and beverages for lunch, dinner and Sunday brunch. Make lunch a part of your fun afternoon on the estate or make reservations for a romantic dinner. Memorable by day, unforgettable by night. Or check out Happy Hour in the new Mahiko Lounge. Luau Kalamaku is Kauai's only theatrical luau telling the story of the original Tahitian voyage to the Hawaiian islands. An interactive experience, it offers all the exciting luau features including an imu ceremony, torch lighting, Polynesian knife dance and of course traditional music & hula. Choose one or all of the features that Kilohana Plantation has to offer. Open daily, you'll love the chance to see a piece of Kauai's history while experiencing the best of the island today!  Duration: 2-3 hours Open now 11:00 AM - 2:30 PM, 5:30 PM - 8:30 PM Wednesday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Thursday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Friday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Saturday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Sunday Closed Monday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Tuesday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Suggest edits to improve what we show. Improve this listing About Built in the 1930's, Kilohana Plantation is a historic landmark and premier visitor attraction offering visitors and locals a glimpse into Kauai's past combined with assorted island-style activities, dining and shopping. Ride on our Kauai Plantation Railway, winding its way through the plantation's working farms and orchards. Learn about Kauai's history, enjoy the beautiful views and stop to feed the pigs! Take the afternoon to stroll the grounds and explore the 16,000 sq. foot plantation home. Stop in at Koloa Rum Co. for a rum tasting or for a full ""Rum & Dining Experience."" Visit the various artisan shops located around the grounds and both upstairs and downstairs in the home. Established in 1986, Gaylord's restaurant is a Kauai tradition. Set in the courtyard of the estate, it offers fresh, island-inspired food and beverages for lunch, dinner and Sunday brunch. Make lunch a part of your fun afternoon on the estate or make reservations for a romantic dinner. Memorable by day, unforgettable by night. Or check out Happy Hour in the new Mahiko Lounge. Luau Kalamaku is Kauai's only theatrical luau telling the story of the original Tahitian voyage to the Hawaiian islands. An interactive experience, it offers all the exciting luau features including an imu ceremony, torch lighting, Polynesian knife dance and of course traditional music & hula. Choose one or all of the features that Kilohana Plantation has to offer. Open daily, you'll love the chance to see a piece of Kauai's history while experiencing the best of the island today!  Duration: 2-3 hours Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options Hours Open now Wednesday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM",Duration: 2-3 hours,"Kaumualiʻi Highway, Ulu Mahi, Līhuʻe, Kauaʻi County, Hawaii, 96766, United States of America",Hawaii,Līhuʻe
Bodie Island Lighthouse,4.5,"2,208",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/98/37/1c/bodie-island-lighthouse.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g49382-d1211847-Reviews-Bodie_Island_Lighthouse-Nags_Head_Outer_Banks_North_Carolina.html,"About Travellers' Choice 2025 An interesting and still important lighthouse that can be visited but not climbed. (NOTE: The lighthouse is currently under construction, and is expected to re-open in summer 2013, with the ability to be climbed for the first time)  Suggest edits to improve what we show. Improve this listing About Travellers' Choice 2025 An interesting and still important lighthouse that can be visited but not climbed. (NOTE: The lighthouse is currently under construction, and is expected to re-open in summer 2013, with the ability to be climbed for the first time)  Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",Duration:,"Bodie Island Lighthouse, Bodie Island Lighthouse Road, Dare County, North Carolina, United States of America",North Carolina,Bodie Island Lighthouse Road
Hunting Island Lighthouse,4.7,839,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/57/e1/85/hunting-island-lighthouse.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g54135-d143522-Reviews-Hunting_Island_Lighthouse-Beaufort_South_Carolina.html,About This property is temporary closed The only public lighthouse in South Carolina.  Duration: More than 3 hours Closed now 10:00 AM - 4:45 PM Thursday 10:00 AM - 4:45 PM Friday 10:00 AM - 4:45 PM Saturday 10:00 AM - 4:45 PM Sunday 10:00 AM - 4:45 PM Monday 10:00 AM - 4:45 PM Tuesday 10:00 AM - 4:45 PM Wednesday 10:00 AM - 4:45 PM Suggest edits to improve what we show. Improve this listing About This property is temporary closed The only public lighthouse in South Carolina.  Duration: More than 3 hours Suggest edits to improve what we show. Improve this listing Hours Closed now Thursday 10:00 AM - 4:45 PM,Duration: More than 3 hours,"Sea Island Parkway, Beaufort County, South Carolina, 29920, United States of America",South Carolina,Sea Island Parkway
BOK Center,4.4,913,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/4e/ba/d3/bok-center.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g51697-d1948234-Reviews-BOK_Center-Tulsa_Oklahoma.html,"About 5 of 5 bubbles Nov 2024 BOK Center Really good concert venue . By RoyAviles  5 of 5 bubbles May 2023 Concert ❤️ restrooms were clean and concession was fast and easy to get to. By HannahBarber33  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing About 5 of 5 bubbles Nov 2024 BOK Center Really good concert venue . By RoyAviles  5 of 5 bubbles May 2023 Concert ❤️ restrooms were clean and concession was fast and easy to get to. By HannahBarber33  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",Duration:,"South Denver Avenue, Oil Capital Historic District, Tulsa, Tulsa County, Oklahoma, 74103, United States of America",Oklahoma,Tulsa
Sausalito Boardwalk,4.4,513,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7d/1b/35/photo5jpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g33062-d8453053-Reviews-Sausalito_Boardwalk-Sausalito_Marin_County_California.html,"About 5 of 5 bubbles May 2025 Beautiful town Beautiful town By tinylass  5 of 5 bubbles Apr 2025 A must see, such a cute town! You can take the ferry over from SFO or take a day trip thru a sightseeing company, either way plan on doing this dur... By Ashley R  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing About 5 of 5 bubbles May 2025 Beautiful town Beautiful town By tinylass  5 of 5 bubbles Apr 2025 A must see, such a cute town! You can take the ferry over from SFO or take a day trip thru a sightseeing company, either way plan on doing this dur... By Ashley R  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",Duration:,"525 Bridgeway Sausalito Yacht Harbor, Sausalito, CA 94965",California,Sausalito
Regal Mall Of Georgia,4.4,396,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/a9/8d/5f/mall-of-georgia.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g34806-d265775-Reviews-Regal_Mall_Of_Georgia-Buford_Georgia.html,"About At Mall of Georgia, we know what our shoppers want. Featuring Belk, Dillard's, JC Penney, Macy*s and Von Maur, plus more than 200 local, national and international stores offering everything from women's and children's apparel to jewelry and home electronics. Mall of Georgia's retail roster includes shops such as Apple, Brighton Collectibles, Coach, H&M, Swarovski, Michael Kors, Pandora, Pottery Barn and Vans--all in a welcoming, climate-controlled indoor shopping and outdoor entertainment complex like no other. We offer a variety of exciting dining options from sit-down restaurants such as The Cheesecake Factory, Seasons 52, P.F. Chang's China Bistro, Buffalo Wild Wings, and Tin Lizzy, to grab-and-go choices including Chick-fil-A, Charley's Philly Steaks and Taco Bell. Mall of Georgia serves the nearby communities of Buford, Sugar Hill, Suwanee, Gainesville, and Lawrenceville, and is conveniently located off I-85 and Exit 115 (GA 20). When we named it Mall of Georgia, we weren't just whistlin' ""Dixie!""  Closed now 10:00 AM - 9:00 PM Thursday 10:00 AM - 9:00 PM Friday 10:00 AM - 9:00 PM Saturday 10:00 AM - 9:00 PM Sunday 11:00 AM - 7:00 PM Monday 10:00 AM - 9:00 PM Tuesday 10:00 AM - 9:00 PM Wednesday 10:00 AM - 9:00 PM Suggest edits to improve what we show. Improve this listing About At Mall of Georgia, we know what our shoppers want. Featuring Belk, Dillard's, JC Penney, Macy*s and Von Maur, plus more than 200 local, national and international stores offering everything from women's and children's apparel to jewelry and home electronics. Mall of Georgia's retail roster includes shops such as Apple, Brighton Collectibles, Coach, H&M, Swarovski, Michael Kors, Pandora, Pottery Barn and Vans--all in a welcoming, climate-controlled indoor shopping and outdoor entertainment complex like no other. We offer a variety of exciting dining options from sit-down restaurants such as The Cheesecake Factory, Seasons 52, P.F. Chang's China Bistro, Buffalo Wild Wings, and Tin Lizzy, to grab-and-go choices including Chick-fil-A, Charley's Philly Steaks and Taco Bell. Mall of Georgia serves the nearby communities of Buford, Sugar Hill, Suwanee, Gainesville, and Lawrenceville, and is conveniently located off I-85 and Exit 115 (GA 20). When we named it Mall of Georgia, we weren't just whistlin' ""Dixie!""  Suggest edits to improve what we show. Improve this listing Hours Closed now Thursday 10:00 AM - 9:00 PM",Duration:,"Regal Mall of Georgia Stadium 20 and IMAX, Mall Grand Lane, Mall of Georgia, Gwinnett County, Georgia, 30519, United States of America",Georgia,Mall of Georgia
