tripadvisor_attractions_id,name,rating,review_count,image_url,page_link,description,duration,area,address,city,state,zipcode,created_at,lat,lng,status,country
1,Hollywood Beach Broadwalk,4.5,"3,691",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ef/46/ca/photo0jpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g34296-d2639350-Reviews-Hollywood_Beach_Broadwalk-Hollywood_Broward_County_Florida.html,"About This 2.5-mile pedestrian promenade in south Florida is crowded with joggers, cyclists and beachgoers of all ages. The Hollywood Beach Broadwalk is great for a fun day out—with activities for both the adults and the kids. Here, you can chill at one of the many cafes perfect for resting and people-watching. You can also rent a bike and enjoy the cool ocean breeze as you pedal or take a leisurely walk along the waterfront. When hungry, you can stop for tacos or a steak, and treat yourself to some ice cream without having to leave the Broadwalk. – Tripadvisor  Duration: More than 3 hours Suggest edits to improve what we show. Improve this listing About This 2.5-mile pedestrian promenade in south Florida is crowded with joggers, cyclists and beachgoers of all ages. The Hollywood Beach Broadwalk is great for a fun day out—with activities for both the adults and the kids. Here, you can chill at one of the many cafes perfect for resting and people-watching. You can also rent a bike and enjoy the cool ocean breeze as you pedal or take a leisurely walk along the waterfront. When hungry, you can stop for tacos or a steak, and treat yourself to some ice cream without having to leave the Broadwalk. – Tripadvisor  Duration: More than 3 hours Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",Duration: More than 3 hours,"Hollywood Beach Theatre, Hollywood Broadwalk, Hollywood, Broward County, Florida, 33019, United States of America",Hollywood Beach Theatre,Hollywood Broadwalk,United,America,2025-11-06 10:46:00,26.0195204,-80.1151354,,United States
2,Visit Central Florida Welcome Center,4.7,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/24/1a/0b/front.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g34169-d10058298-Reviews-Visit_Central_Florida_Welcome_Center-Davenport_Florida.html,"About The premiere Welcome Center for Polk County, FL located in the heart of Central Florida and has a wealth of information. The Welcome Center is the home of the USA Water Ski and Wake Sports Hall of Fame and Museum. Make sure to try a sample of Fresh FL orange juice while enjoying interactive exhibits about numerous attractions throughout Central Florida. While the kids are trying to find the largemouth bass in the pond please ask about Discounted Tickets to all your favorite Central Florida Attractions.  Duration: 1-2 hours Closed now 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday 8:00 AM - 5:00 PM Sunday 8:00 AM - 5:00 PM Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Suggest edits to improve what we show. Improve this listing About The premiere Welcome Center for Polk County, FL located in the heart of Central Florida and has a wealth of information. The Welcome Center is the home of the USA Water Ski and Wake Sports Hall of Fame and Museum. Make sure to try a sample of Fresh FL orange juice while enjoying interactive exhibits about numerous attractions throughout Central Florida. While the kids are trying to find the largemouth bass in the pond please ask about Discounted Tickets to all your favorite Central Florida Attractions.  Duration: 1-2 hours Suggest edits to improve what we show. Improve this listing Hours Closed now Thursday 8:00 AM - 5:00 PM",Duration: 1-2 hours,"101 Adventure Ct, Davenport, FL 33837-8802",101 Adventure Ct,Davenport,FL,33837-8802,2025-11-06 10:46:15,,,,United States
3,McKinley Explorer,4.7,278,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/37/ff/95/mckinley-explorer.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g60880-d109552-Reviews-McKinley_Explorer-Anchorage_Alaska.html,"About A scenic railroad spanning 356 miles, from Fairbanks to Anchorage.  Closed now 6:30 AM - 6:30 PM Wednesday 6:30 AM - 6:30 PM Thursday 6:30 AM - 6:30 PM Friday 6:30 AM - 6:30 PM Saturday 6:30 AM - 6:30 PM Sunday 6:30 AM - 6:30 PM Monday 6:30 AM - 6:30 PM Tuesday 6:30 AM - 6:30 PM Suggest edits to improve what we show. Improve this listing About A scenic railroad spanning 356 miles, from Fairbanks to Anchorage.  Suggest edits to improve what we show. Improve this listing Hours Closed now Wednesday 6:30 AM - 6:30 PM",Duration:,Unknown,Unknown,Unknown,Unknown,Unknown,2025-11-06 10:46:33,,,,India
4,Binder Park Zoo,4.3,557,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c4/aa/ac/binder-park-zoo.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g41969-d630592-Reviews-Binder_Park_Zoo-Battle_Creek_Calhoun_County_Michigan.html,"About 5 of 5 bubbles May 2025 Big zoo in a small town There's a petting area where you can feed goats. By Dave C  5 of 5 bubbles Oct 2023 Delightful Zoo Never Disappoints! The baby Red Panda in the nursery was darling! By Wildflower  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing About 5 of 5 bubbles May 2025 Big zoo in a small town There's a petting area where you can feed goats. By Dave C  5 of 5 bubbles Oct 2023 Delightful Zoo Never Disappoints! The baby Red Panda in the nursery was darling! By Wildflower  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing",Duration:,"Binder Park Zoo, 7400, Division Drive, Battle Creek, Calhoun County, Michigan, 49014, United States of America",Binder Park Zoo,7400,United,America,2025-11-06 10:46:47,42.2393907,-85.1651215,,
5,Mountain Layers Brewing Company,4.7,135,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3c/bb/68/craft-beer.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g48984-d12403783-Reviews-Mountain_Layers_Brewing_Company-Bryson_City_North_Carolina.html,"About Our brewery and taproom feature two bars: one on the main level built around the brewhouse and another upstairs where you can drink on the outdoor deck overlooking downtown. The dream of opening a brewery comes after a 30 year career in public service so we are incorporating that background into this project through an Honor and Remember Wall, a tribute to our military veterans and first responder  Duration: 1-2 hours Closed now 12:00 PM - 9:00 PM Thursday 12:00 PM - 9:00 PM Friday 12:00 PM - 9:00 PM Saturday 12:00 PM - 9:00 PM Sunday 12:00 PM - 8:00 PM Monday 12:00 PM - 9:00 PM Tuesday 12:00 PM - 9:00 PM Wednesday 12:00 PM - 9:00 PM Suggest edits to improve what we show. Improve this listing About Our brewery and taproom feature two bars: one on the main level built around the brewhouse and another upstairs where you can drink on the outdoor deck overlooking downtown. The dream of opening a brewery comes after a 30 year career in public service so we are incorporating that background into this project through an Honor and Remember Wall, a tribute to our military veterans and first responder  Duration: 1-2 hours Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options Hours Closed now Thursday 12:00 PM - 9:00 PM",Duration: 1-2 hours,"Mountain Layers Brewing Company, 90, Everett Street, Bryson City, Swain County, North Carolina, 28713, United States of America",Mountain Layers Brewing Company,90,United,America,2025-11-06 10:47:04,35.4288696,-83.4459321,,
6,Cathedral Basilica of the Sacred Heart,4.8,211,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/ce/29/cathedral-basilica-of.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g46671-d2414633-Reviews-Cathedral_Basilica_of_the_Sacred_Heart-Newark_New_Jersey.html,"About The Cathedral Basilica of the Sacred Heart is built on the highest peak in Newark next to Branch Brook Park. The French Gothic Cathedral covers 45,000 square feet, an area equal to that of London’s Westminster Abbey, and is longer and taller than St. Patrick’s Cathedral in New York City. Built over a 55-year period, beginning at the turn of the century, the land was purchased in 1871 for $60,000. The cost, initially estimated at $1 million, soon rose to $18 million. Most of the money was raised through large donations and church collections throughout the Archdiocese. The edifice was dedicated on October 19, 1954. The title of ""Sacred Heart"" honors Jesus Christ's love for humanity. He made the human face of God's love present in Galilee. The same love reached out to us here and now. We invite you to allow the Cathedral Basilica of the Sacred Heart to lead you in prayer and to deepen your own faith, hope, and love.  Suggest edits to improve what we show. Improve this listing About The Cathedral Basilica of the Sacred Heart is built on the highest peak in Newark next to Branch Brook Park. The French Gothic Cathedral covers 45,000 square feet, an area equal to that of London’s Westminster Abbey, and is longer and taller than St. Patrick’s Cathedral in New York City. Built over a 55-year period, beginning at the turn of the century, the land was purchased in 1871 for $60,000. The cost, initially estimated at $1 million, soon rose to $18 million. Most of the money was raised through large donations and church collections throughout the Archdiocese. The edifice was dedicated on October 19, 1954. The title of ""Sacred Heart"" honors Jesus Christ's love for humanity. He made the human face of God's love present in Galilee. The same love reached out to us here and now. We invite you to allow the Cathedral Basilica of the Sacred Heart to lead you in prayer and to deepen your own faith, hope, and love.  Suggest edits to improve what we show. Improve this listing",N/A,"89, Ridge Street, Newark, Essex County, New Jersey, 07104, United States of America",89,Ridge Street,United,America,2025-11-06 10:47:21,40.7561157,-74.1781429,,United States
7,Appalachian Mountain Brewery,4.5,238,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/47/7f/2f/photo0jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g48975-d4185372-Reviews-Appalachian_Mountain_Brewery-Boone_North_Carolina.html,"About 5 of 5 bubbles Sept 2025 Great Beer & Food Great Beer & Food By Jasmine  5 of 5 bubbles Oct 2023 Great beer and pizza! Great beer and pizza ! By keturah627  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 12:00 PM - 10:00 PM Thursday 12:00 PM - 10:00 PM Friday 12:00 PM - 10:00 PM Saturday 12:00 PM - 10:00 PM Sunday 10:00 AM - 8:00 PM Monday 12:00 PM - 10:00 PM Tuesday 12:00 PM - 10:00 PM Wednesday 12:00 PM - 10:00 PM Suggest edits to improve what we show. Improve this listing About 5 of 5 bubbles Sept 2025 Great Beer & Food Great Beer & Food By Jasmine  5 of 5 bubbles Oct 2023 Great beer and pizza! Great beer and pizza ! By keturah627  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Hours Closed now Thursday 12:00 PM - 10:00 PM",Duration:,"Appalachian Mountain Brewery, 163, Boone Creek Drive, Boone Creek Apartments, Boone, Watauga County, North Carolina, 28607, United States of America",Appalachian Mountain Brewery,163,United,America,2025-11-06 10:47:51,36.2033765,-81.6684331,,
8,Geneva Lake,4.5,483,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/10/22/83/photo0jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g60022-d283907-Reviews-Geneva_Lake-Lake_Geneva_Wisconsin.html,"About Get this straight: The city is Lake Geneva, the lake is Geneva Lake. Hop aboard a classic yacht for a cruise around the second deepest lake in Wisconsin (135 feet deep and 21 miles around) which is the focal point of a popular resort area also known as ""the Newport of the West.""  Suggest edits to improve what we show. Improve this listing About Get this straight: The city is Lake Geneva, the lake is Geneva Lake. Hop aboard a classic yacht for a cruise around the second deepest lake in Wisconsin (135 feet deep and 21 miles around) which is the focal point of a popular resort area also known as ""the Newport of the West.""  Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",Duration:,"Lake Geneva Club, Town of Linn, Walworth County, Wisconsin, 53125, United States of America",Lake Geneva Club,Town of Linn,United,America,2025-11-06 10:48:04,42.547423,-88.5323462,,United States
9,Kilohana Plantation,4.2,863,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/67/61/d9/kilohana-plantation-estate.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g60623-d155346-Reviews-Kilohana_Plantation-Lihue_Kauai_Hawaii.html,"About Built in the 1930's, Kilohana Plantation is a historic landmark and premier visitor attraction offering visitors and locals a glimpse into Kauai's past combined with assorted island-style activities, dining and shopping. Ride on our Kauai Plantation Railway, winding its way through the plantation's working farms and orchards. Learn about Kauai's history, enjoy the beautiful views and stop to feed the pigs! Take the afternoon to stroll the grounds and explore the 16,000 sq. foot plantation home. Stop in at Koloa Rum Co. for a rum tasting or for a full ""Rum & Dining Experience."" Visit the various artisan shops located around the grounds and both upstairs and downstairs in the home. Established in 1986, Gaylord's restaurant is a Kauai tradition. Set in the courtyard of the estate, it offers fresh, island-inspired food and beverages for lunch, dinner and Sunday brunch. Make lunch a part of your fun afternoon on the estate or make reservations for a romantic dinner. Memorable by day, unforgettable by night. Or check out Happy Hour in the new Mahiko Lounge. Luau Kalamaku is Kauai's only theatrical luau telling the story of the original Tahitian voyage to the Hawaiian islands. An interactive experience, it offers all the exciting luau features including an imu ceremony, torch lighting, Polynesian knife dance and of course traditional music & hula. Choose one or all of the features that Kilohana Plantation has to offer. Open daily, you'll love the chance to see a piece of Kauai's history while experiencing the best of the island today!  Duration: 2-3 hours Open now 11:00 AM - 2:30 PM, 5:30 PM - 8:30 PM Wednesday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Thursday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Friday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Saturday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Sunday Closed Monday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Tuesday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM Suggest edits to improve what we show. Improve this listing About Built in the 1930's, Kilohana Plantation is a historic landmark and premier visitor attraction offering visitors and locals a glimpse into Kauai's past combined with assorted island-style activities, dining and shopping. Ride on our Kauai Plantation Railway, winding its way through the plantation's working farms and orchards. Learn about Kauai's history, enjoy the beautiful views and stop to feed the pigs! Take the afternoon to stroll the grounds and explore the 16,000 sq. foot plantation home. Stop in at Koloa Rum Co. for a rum tasting or for a full ""Rum & Dining Experience."" Visit the various artisan shops located around the grounds and both upstairs and downstairs in the home. Established in 1986, Gaylord's restaurant is a Kauai tradition. Set in the courtyard of the estate, it offers fresh, island-inspired food and beverages for lunch, dinner and Sunday brunch. Make lunch a part of your fun afternoon on the estate or make reservations for a romantic dinner. Memorable by day, unforgettable by night. Or check out Happy Hour in the new Mahiko Lounge. Luau Kalamaku is Kauai's only theatrical luau telling the story of the original Tahitian voyage to the Hawaiian islands. An interactive experience, it offers all the exciting luau features including an imu ceremony, torch lighting, Polynesian knife dance and of course traditional music & hula. Choose one or all of the features that Kilohana Plantation has to offer. Open daily, you'll love the chance to see a piece of Kauai's history while experiencing the best of the island today!  Duration: 2-3 hours Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options Hours Open now Wednesday 11:00 AM - 2:30 PM 5:30 PM - 8:30 PM",Duration: 2-3 hours,"Kaumualiʻi Highway, Ulu Mahi, Līhuʻe, Kauaʻi County, Hawaii, 96766, United States of America",Kaumualiʻi Highway,Ulu Mahi,United,America,2025-11-06 10:48:19,21.9705585,-159.3850752,,United States
10,Bodie Island Lighthouse,4.5,"2,208",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/98/37/1c/bodie-island-lighthouse.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g49382-d1211847-Reviews-Bodie_Island_Lighthouse-Nags_Head_Outer_Banks_North_Carolina.html,"About Travellers' Choice 2025 An interesting and still important lighthouse that can be visited but not climbed. (NOTE: The lighthouse is currently under construction, and is expected to re-open in summer 2013, with the ability to be climbed for the first time)  Suggest edits to improve what we show. Improve this listing About Travellers' Choice 2025 An interesting and still important lighthouse that can be visited but not climbed. (NOTE: The lighthouse is currently under construction, and is expected to re-open in summer 2013, with the ability to be climbed for the first time)  Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",Duration:,"Bodie Island Lighthouse, Bodie Island Lighthouse Road, Dare County, North Carolina, United States of America",Bodie Island Lighthouse,Bodie Island Lighthouse Road,United,America,2025-11-06 10:48:46,35.818554,-75.5633086,saved,United States
